Nr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134
04/13/23 07:00,5.4981400000000002,6.9049800000000001,23.915199999999999,59.536999999999999,16.444800000000001,2.7261899999999999,11.695499999999999,14.856199999999999,2.9115500000000001,145.00899999999999,14.4696,13.3285,78.3,31.4,5.6,23.2,28.7,41.4,17.899999999999999,20.7,35.6,91.3,34.799999999999997,6.4,2.1999499999999999,57.9,14.1,14.1,40.1,25.7,31.9,108.5,36.4,30.4,31.5,27.8,19.2,15.822900000000001,9.1749399999999994,6.7,13.0829,21.0947,16.689399999999999,11.5936,13.232200000000001,124.858,27.4617,44.883699999999997,34.370600000000003,25.640999999999998,19.151199999999999,4.5999999999999996,32.339199999999998,77.599999999999994,24.4009,21.186199999999999,8.3000000000000007,5.57,6.6,11.5,42.6,42.32,69.8,42.78,76.180000000000007,31.29,36.5,40.35,,,17.294799999999999,16.134399999999999,4.5999999999999996,100.2,3.2,16.2,,18.399999999999999,16.399999999999999,16.8583,6.4575500000000003,28.230699999999999,62.092199999999998,53.879300000000001,44.709600000000002,38.322000000000003,31.747299999999999,22.339300000000001,14.386100000000001,12.493600000000001,12.456300000000001,39.291499999999999,36.008099999999999,9.3000000000000007,67.7,80.900000000000006,29.9,21.377800000000001,37.742699999999999,70.9512,16.484100000000002,23.982500000000002,15.56,33.610300000000002,33.598599999999998,129.04499999999999,19.563400000000001,28.405899999999999,17.39,22.3736,12.151199999999999,20.881699999999999,11.229900000000001,31.229900000000001,28.737200000000001,13.955500000000001,9.91,16.9116,29.2393,4.1945499999999996,19.360900000000001,12.9794,17.471599999999999,19.246600000000001,9.1356300000000008,,31.288499999999999,38.101399999999998,16.835899999999999,17.930299999999999,9.4495299999999993,23.128699999999998,47.020899999999997,4.2159599999999999
04/13/23 08:00,4.1714200000000003,7.8412300000000004,17.681000000000001,50.707299999999996,13.5322,5.3934300000000004,9.0920199999999998,10.8559,2.8887100000000001,117.539,15.066599999999999,20.116,90.9,49.8,20.3,20.9,25.4,51.3,14.7,18.5,37.299999999999997,81.400000000000006,207,5.7,2.60168,136.6,21.3,17.2,43.7,23.8,41.3,145.30000000000001,34.200000000000003,27,40.799999999999997,20.100000000000001,15.5,42.319800000000001,14.6135,6.1,15.3034,34.0623,22.000699999999998,37.548000000000002,14.5966,77.164599999999993,28.400700000000001,43.509700000000002,31.009499999999999,24.766200000000001,18.591999999999999,4.2,27.336600000000001,54,28.329599999999999,23.328199999999999,17.7,5.07,7,14.1,36.200000000000003,166.22,50.5,39.08,72.08,50.89,74.900000000000006,37.450000000000003,,,13.224399999999999,16.669699999999999,5.2,68.7,3.5,10.9,,7.6,24,13.833500000000001,7.1984500000000002,21.9407,39.466799999999999,21.747,44.068300000000001,35.578800000000001,31.8201,22.9572,26.051100000000002,29.8673,12.865500000000001,35.795999999999999,53.812899999999999,11,65.7,54.4,46.7,19.116800000000001,37.762,71.148700000000005,15.911,20.305700000000002,14.546799999999999,42.15,44.851799999999997,122.215,19.736799999999999,23.588200000000001,22.996300000000002,27.0304,14.1145,18.5092,10.0251,35.941899999999997,10.186199999999999,15.741099999999999,11.019,16.879799999999999,20.061699999999998,3.8271999999999999,17.4438,11.816000000000001,17.308900000000001,11.040800000000001,7.7719199999999997,,22.412700000000001,36.153799999999997,22.489599999999999,23.9,38.220300000000002,22.3065,86.583299999999994,9.5010499999999993
04/13/23 09:00,4.5107999999999997,9.8881499999999996,19.467099999999999,51.969200000000001,12.482699999999999,5.7301599999999997,8.5651600000000006,8.93276,17.155999999999999,93.666799999999995,11.8714,26.964200000000002,93.5,34.799999999999997,19.7,19.899999999999999,24.4,45.3,11.2,19.399999999999999,40.200000000000003,58.7,123.9,4.3,2.8503699999999998,70.599999999999994,19.7,16.600000000000001,59.9,24.4,39.5,146.4,32.700000000000003,11.8,30.4,19,13.8,69.681200000000004,29.095300000000002,5.9,18.853899999999999,13.474299999999999,21.907800000000002,15.857900000000001,16.770900000000001,72.988500000000002,27.632200000000001,33.292700000000004,29.2074,25.7148,20.706299999999999,3.5,17.581199999999999,30.2,22.0947,22.014099999999999,19.7,5.27,6.8,13.1,31,89.52,35.9,34.380000000000003,59.88,27.49,48.5,42.75,,,12.949299999999999,11.3246,5.4,60.2,5,10.7,,4.5999999999999996,22.3,16.3843,8.6558200000000003,15.381500000000001,50.937800000000003,15.7675,33.250700000000002,38.433,34.017400000000002,53.957599999999999,36.5852,33.085900000000002,15.4406,26.402699999999999,55.199100000000001,11.8,34.799999999999997,25.6,44.8,18.759899999999998,39.750300000000003,91.135999999999996,14.393599999999999,22.2256,13.213699999999999,37.297800000000002,45.341500000000003,117.01,21.5443,22.775099999999998,28.433900000000001,16.1769,15.015700000000001,26.602799999999998,9.6240199999999998,28.695399999999999,5.49594,14.559699999999999,9.6290399999999998,15.859,9.3853200000000001,4.2911400000000004,25.006799999999998,12.458,15.7645,9.6622000000000003,6.8891200000000001,,24.595199999999998,21.202999999999999,16.0428,25.722799999999999,50.808700000000002,19.799099999999999,85.722399999999993,7.90984
04/13/23 10:00,2.31413,12.582000000000001,13.527699999999999,46.134999999999998,14.0962,5.0912300000000004,8.1891300000000005,5.7933599999999998,7.0122600000000004,70.900700000000001,9.5838999999999999,22.626000000000001,76.099999999999994,41.3,23.3,16.7,22.1,43.2,9.3000000000000007,19.899999999999999,33.200000000000003,29.8,72.3,5.0999999999999996,2.8312400000000002,26.8,13,14.2,23.4,24.8,41,155.69999999999999,30.2,9.4,22.5,17.2,29,77.943700000000007,24.042300000000001,5.7,21.351199999999999,11.8565,13.0975,8.7410300000000003,16.985299999999999,66.430800000000005,27.7379,38.962800000000001,31.8125,21.6831,21.567799999999998,3.7,25.453800000000001,35.1,20.1404,20.162800000000001,20,6.77,6.4,12.3,13.2,31.72,25.3,31.08,48.58,18.190000000000001,24.4,29.95,,,15.1577,8.8539200000000005,4.5,32.799999999999997,3.2,8.9,,5.4,12.5,11.7925,4.55192,14.831300000000001,37.805,27.005700000000001,28.040800000000001,42.387700000000002,58.729599999999998,88.856800000000007,21.494900000000001,38.406700000000001,17.011900000000001,21.780100000000001,62.424900000000001,9.3000000000000007,31.6,21.8,41.5,20.1052,31.68,69.135000000000005,13.806900000000001,20.5932,11.824299999999999,40.174300000000002,34.8977,93.206400000000002,19.955300000000001,19.620799999999999,30.982199999999999,20.093499999999999,9.7980599999999995,20.502199999999998,9.2461699999999993,36.570700000000002,4.9600499999999998,14.524900000000001,7.5598400000000003,14.22,8.8010999999999999,4.5262599999999997,27.573899999999998,10.6716,15.6149,11.6648,7.3649300000000002,,18.8172,31.700299999999999,9.1233699999999995,31.144400000000001,49.070900000000002,22.220300000000002,111.63500000000001,9.1616700000000009
04/13/23 11:00,2.7432699999999999,9.9706200000000003,10.374499999999999,29.464500000000001,12.5433,4.0513199999999996,9.3251799999999996,4.0693700000000002,4.03857,41.6646,8.0309299999999997,11.428100000000001,49.7,39.200000000000003,33,16,25.3,25.9,8.8000000000000007,20.3,20.6,22.4,38.1,4.9000000000000004,3.1755800000000001,16.7,7.6,11.9,21.2,25.1,30.9,41.3,22.8,7.8,15,12.2,27.9,39.435499999999998,12.622400000000001,5.7,16.088899999999999,11.6356,11.622299999999999,4.6997999999999998,15.351100000000001,69.608500000000006,28.0991,32.584699999999998,29.427299999999999,16.870699999999999,20.3399,4.0999999999999996,24.001200000000001,26.1,17.946899999999999,15.7835,13.3,8.17,7.3,10.8,10.6,27.12,20.3,22.28,39.68,13.39,19.399999999999999,21.65,,,11.355700000000001,7.6668799999999999,3.5,17.7,2.2999999999999998,6.2,,12.1,12.4,11.9328,4.4154299999999997,13.027100000000001,27.058499999999999,13.974399999999999,20.310400000000001,31.3794,69.987099999999998,83.262200000000007,18.931899999999999,23.638400000000001,14.894299999999999,18.857500000000002,54.412300000000002,10.8,26.4,36.4,18.2,16.566400000000002,20.307099999999998,43.926099999999998,11.895899999999999,17.341799999999999,12.938700000000001,27.290099999999999,35.045400000000001,92.706800000000001,19.256599999999999,15.736800000000001,25.040400000000002,17.476199999999999,9.0650999999999993,18.3886,13.6144,26.3261,4.9032200000000001,8.3081700000000005,8.3931500000000003,12.4657,13.6677,4.6448499999999999,22.558800000000002,9.4384599999999992,16.264700000000001,9.7020099999999996,6.56332,,16.557600000000001,24.7639,11.4129,57.507599999999996,42.092700000000001,15.0984,145.74199999999999,13.340999999999999
04/14/23 12:00,2.2525200000000001,9.6966099999999997,9.3691099999999992,16.749099999999999,11.0678,4.08371,6.9904099999999998,6.35581,3.9302199999999998,29.822399999999998,5.4996600000000004,8.0991400000000002,41.2,30.5,24.9,16.7,23.6,16.399999999999999,10.4,14.6,15.9,19.7,30.6,4.2,2.8694999999999999,11.4,,11.8,20.399999999999999,32.5,21.7,36.6,14.3,7.3,12.8,12.4,15.3,15.2498,7.25976,5.7,19.866700000000002,8.9178899999999999,8.2514599999999998,4.4252200000000004,16.752199999999998,59.405799999999999,25.258099999999999,29.071100000000001,29.656700000000001,16.364100000000001,17.587599999999998,3.7,23.483899999999998,24,14.910299999999999,11.5596,8.5,9.4700000000000006,7.9,10,9.1,18.72,11.7,15.18,27.18,10.49,17.8,13.45,,,6.5465600000000004,7.2690799999999998,3.5,10,2.1,5.7,,15,11.7,9.7724799999999998,4.1647400000000001,10.201599999999999,27.363399999999999,9.3031000000000006,25.497699999999998,30.425699999999999,61.173000000000002,118.218,17.371600000000001,19.021699999999999,13.4261,12.62,55.798000000000002,8.6,19.2,32,19.899999999999999,14.2301,16.669499999999999,24.490100000000002,12.817299999999999,16.188700000000001,17.433800000000002,18.0121,20.186499999999999,82.465000000000003,13.849399999999999,14.4977,21.891100000000002,16.545200000000001,10.0404,19.3123,12.6244,18.6356,5.0864500000000001,13.129099999999999,7.6926100000000002,10.0768,8.6295500000000001,4.5410700000000004,21.251300000000001,10.6195,15.105700000000001,8.7638099999999994,6.6450699999999996,,12.5542,16.597200000000001,11.700100000000001,52.474299999999999,27.325099999999999,8.3770199999999999,69.8626,17.040700000000001
04/14/23 01:00,,7.8494799999999998,8.4508200000000002,12.6256,8.19876,3.5711900000000001,5.7608899999999998,4.4576200000000004,1.40107,23.256799999999998,5.6579300000000003,6.2455600000000002,36,24.5,18.8,16.2,21.1,10.9,11.8,15,11.9,18.2,25.8,3.7,3.3860100000000002,11.3,8.5,10.8,16.8,21.2,17.899999999999999,23,12.8,7.5,12.8,13.7,12.6,11.534700000000001,5.5272699999999997,5.5,13.778600000000001,6.53186,6.2245900000000001,4.2127699999999999,17.286799999999999,32.6708,25.602799999999998,29.8125,26.685099999999998,16.0884,18.355599999999999,3.5,23.107399999999998,23.3,11.5548,10.7087,8.4,11.47,7.8,9.5,8.6,14.82,10.5,15.18,19.98,8.49,18.899999999999999,13.25,,,8.0793199999999992,5.7394800000000004,4.5,8.1999999999999993,3,5.8,,6.4,7.5,7.6654,3.6373500000000001,13.6214,18.613900000000001,22.255099999999999,38.7408,17.507000000000001,60.444400000000002,143.81800000000001,12.53,17.644300000000001,12.632199999999999,10.224600000000001,57.255000000000003,9.6,18.3,27.8,16.5,14.938000000000001,16.166399999999999,21.6098,9.2668300000000006,15.052,18.561800000000002,25.454599999999999,15.549300000000001,83.2761,14.9384,10.0433,30.530799999999999,11.5092,12.7896,18.517199999999999,10.563000000000001,17.8963,4.4140600000000001,7.5316900000000002,6.2538299999999998,11.503299999999999,15.915900000000001,4.8962500000000002,12.3207,15.110099999999999,15.226800000000001,6.69421,8.6288699999999992,,14.6028,20.527999999999999,9.9084299999999992,37.138500000000001,32.525199999999998,4.8214199999999998,65.066400000000002,10.0136
04/14/23 02:00,,9.3936299999999999,8.7508900000000001,12.086,8.4656699999999994,3.6014599999999999,7.2495900000000004,4.8878199999999996,1.51898,16.522300000000001,6.1497400000000004,7.92706,31,20.8,16.899999999999999,15.7,18.899999999999999,8.3000000000000007,8.9,13.6,13.4,14.1,26.8,4,3.2521,11.9,8,11.6,17.3,17.3,16.3,20,13.5,7.4,12.4,11.2,15.8,9.3278999999999996,2.23332,5.3,17.458200000000001,5.4082999999999997,6.0627899999999997,4.9706700000000001,15.5998,44.137500000000003,23.400300000000001,26.525300000000001,30.720500000000001,15.3629,16.5121,2.8,21.663799999999998,22.5,8.1389800000000001,17.445900000000002,7.7,11.77,7.2,9.1,8.9,12.22,10.6,13.88,18.579999999999998,8.09,13.3,11.85,,,13.190099999999999,5.2269600000000001,4.8,11.2,3,5,,4.4000000000000004,5.3,6.9371299999999998,3.27311,13.9183,17.9693,6.3917799999999998,39.384599999999999,12.6401,54.322299999999998,96.123099999999994,13.6159,14.8582,11.359,10.498200000000001,49.230499999999999,10.4,19.5,27.3,11.5,15.1972,13.942600000000001,21.820699999999999,7.8576699999999997,13.740500000000001,21.762,21.726199999999999,16.2881,82.003100000000003,16.775200000000002,8.3166700000000002,27.241800000000001,10.773099999999999,11.725,15.5748,8.8585700000000003,23.910599999999999,4.66953,8.9481599999999997,5.9123299999999999,11.352,6.6697499999999996,4.9145000000000003,8.2937499999999993,20.52,15.8049,6.2205199999999996,7.0857400000000004,,8.3599800000000002,12.6877,6.4940300000000004,22.484100000000002,35.517499999999998,4.5027400000000002,47.689500000000002,8.2141599999999997
04/14/23 03:00,,8.4862699999999993,6.7385099999999998,9.4931000000000001,6.7833500000000004,3.5935000000000001,6.3307700000000002,5.7800799999999999,1.1286099999999999,18.9819,9.0729699999999998,4.7998799999999999,30.1,15.9,15.1,18.5,17.2,10,17.3,12.9,14,10.9,14.3,5,2.69733,13.2,8.6,13.8,18.3,20.5,21.5,65.2,24.5,7.6,15.3,13,17,7.2533799999999999,4.0465400000000002,5.3,12.463100000000001,5.3360700000000003,6.6868299999999996,5.0999999999999996,14.5785,43.939900000000002,24.175699999999999,25.650500000000001,31.497,16.292400000000001,13.5177,3.3,20.998899999999999,34.200000000000003,9.3285699999999991,20.6723,7.2,10.57,6.9,10.199999999999999,9.5,14.42,10.6,15.28,14.68,8.09,13.2,12.15,,,14.375299999999999,3.8343799999999999,4.3,19.7,2.2000000000000002,5.4,,3.9,3.4,6.1821799999999998,3.4350499999999999,13.8025,14.6991,6.5095499999999999,20.546099999999999,14.581300000000001,55.569200000000002,109.59399999999999,14.3766,16.114999999999998,10.433299999999999,12.1524,43.134399999999999,8.8000000000000007,27.9,69.599999999999994,11.2,15.5525,12.171799999999999,39.205100000000002,10.0565,22.3018,19.489799999999999,26.036100000000001,20.754200000000001,95.143000000000001,15.492100000000001,14.9572,29.590299999999999,10.052300000000001,14.092000000000001,13.761100000000001,7.4886100000000004,26.739899999999999,4.1022999999999996,10.9887,6.7621099999999998,13.4185,6.6915300000000002,5.1791200000000002,6.8123199999999997,24.427499999999998,14.8131,6.0538999999999996,6.3765099999999997,,5.2512100000000004,15.267899999999999,5.4708800000000002,12.8,35.443199999999997,7.8903800000000004,18.942599999999999,11.5426
04/14/23 04:00,2.0432600000000001,9.5655300000000008,11.2041,11.967499999999999,8.20885,4.1070799999999998,8.0059000000000005,6.1470799999999999,6.9835799999999999,33.6389,7.5614299999999997,8.5739599999999996,29.7,14.6,15.7,19.899999999999999,23.4,10.7,25.6,15.8,26.6,9.9,14.1,3.9,2.2573400000000001,12.2,8.4,14.5,18.8,23.4,35.799999999999997,97.5,34.700000000000003,7.8,23.8,15.7,17.7,6.5640000000000001,10.726900000000001,5.3,9.27745,13.222,7.1,4.5,20.1419,123.657,33.132399999999997,41.746899999999997,29.1511,18.9421,20.8109,4.2,31.2727,39.1,7.4557000000000002,23.4557,12,10.07,6.4,8,9.6,16.12,11.2,16.98,13.78,8.19,29.1,12.65,,,8.4270499999999995,4.0654199999999996,4.2,26,1.7,5,,4.5,3.5,5.8514999999999997,3.0961500000000002,14.908799999999999,18.219200000000001,10.752800000000001,28.4145,16.840499999999999,56.697299999999998,101.11799999999999,13.297000000000001,16.323799999999999,11.7963,15.048999999999999,62.556699999999999,11,62.2,37.700000000000003,16.3,15.779299999999999,18.681699999999999,53.677300000000002,11.1189,27.145499999999998,16.7651,35.071399999999997,21.555099999999999,97.295699999999997,13.4109,19.703199999999999,23.503299999999999,10.7986,14.4953,17.875599999999999,6.2587599999999997,32.151899999999998,4.7152000000000003,10.9467,5.5660400000000001,9.3423800000000004,8.2657399999999992,5.2314100000000003,6.9791100000000004,20.2408,13.5617,8.16432,5.82104,,6.8835699999999997,8.3044499999999992,5.3372400000000004,10,27.664000000000001,7.2904099999999996,18.2941,21.132400000000001
04/14/23 05:00,1.6661699999999999,9.3443500000000004,12.907400000000001,19.014299999999999,13.077500000000001,4.5914599999999997,7.12425,10.0608,14.482900000000001,129.465,7.9345299999999996,20.440000000000001,39.200000000000003,18.600000000000001,12.4,23.7,18.600000000000001,12.1,22.8,18.7,46,14.9,16.600000000000001,4,3.5199199999999999,18.8,12.8,13.3,18.600000000000001,21.4,34.799999999999997,86.1,61.5,11.6,44.7,13.3,16.8,12.566599999999999,6.3738599999999996,5.5,14.8817,17.5915,7.0763199999999999,5.85656,27.979399999999998,161.374,32.033000000000001,36.293500000000002,48.944499999999998,26.318100000000001,23.317799999999998,5,41.036099999999998,61.9,6.7658399999999999,20.063400000000001,12.7,10.37,6.9,7.7,9.9,23.42,23.6,19.68,16.48,10.39,28.6,14.45,,,8.3142600000000009,5.51694,5.4,43.9,2.7,8.8000000000000007,,4.5999999999999996,7.1,6.7650499999999996,5.0888799999999996,24.504899999999999,24.432700000000001,28.9255,31.257999999999999,17.956399999999999,64.475499999999997,49.5839,15.8094,17.192599999999999,12.117800000000001,25.894100000000002,78.877799999999993,11.2,33.4,53.8,30,23.1633,71.584000000000003,88.148499999999999,17.345600000000001,18.3734,18.414899999999999,41.345399999999998,29.2074,123.06,20.061199999999999,23.176100000000002,26.41,13.9533,19.276,24.909199999999998,6.3475000000000001,19.4849,5.4730999999999996,14.5131,11.105,15.3833,7.8190799999999996,5.0670999999999999,7.3945400000000001,23.3416,12.2852,7.8662299999999998,5.6589299999999998,,11.302899999999999,24.591000000000001,6.8330399999999996,10.199999999999999,25.941600000000001,13.1699,30.450299999999999,37.677599999999998
04/14/23 06:00,1.6231500000000001,12.9511,13.7242,30.728000000000002,14.709099999999999,4.9350800000000001,9.6549999999999994,14.0282,8.1100700000000003,179,10.518700000000001,44.178600000000003,48.4,23.4,7.4,26,16.3,24.4,18.399999999999999,22.6,56.4,17.3,17.7,5.5,4.28512,29.9,21.2,12,19.8,22.1,33,113.2,55.4,20,33.6,14.5,16.5,20.366,6.8853200000000001,5.7,19.7425,29.8474,6.8090000000000002,11.070499999999999,39.180500000000002,200.84,26.713899999999999,36.145800000000001,72.915199999999999,32.390300000000003,54.094099999999997,6.7,47.435499999999998,127.9,9.7690900000000003,33.731900000000003,17.399999999999999,9.17,4.5999999999999996,9,,39.42,29.8,21.38,33.18,19.59,18.7,19.850000000000001,,,15.193099999999999,9.2304700000000004,7.4,57.2,3.6,13.7,,6.7,14,16.576599999999999,6.3566399999999996,79.783500000000004,67.700699999999998,19.8706,153.28800000000001,44.160200000000003,38.3996,51.622700000000002,24.318200000000001,25.972799999999999,14.4267,33.827199999999998,93.306600000000003,8.9,114.4,148.9,53.5,22.139900000000001,62.432699999999997,108.354,26.450399999999998,30.719799999999999,18.518699999999999,53.223199999999999,34.259300000000003,99.862099999999998,24.749099999999999,31.148099999999999,40.389899999999997,19.948499999999999,29.175699999999999,34.056600000000003,6.8275499999999996,17.7242,10.4533,17.350300000000001,15.406499999999999,25.71,14.672000000000001,5.4172399999999996,8.2786200000000001,29.000299999999999,12.511200000000001,9.8935999999999993,9.6695100000000007,,24.844999999999999,51.009500000000003,6.8018400000000003,8.1,59.146700000000003,17.221900000000002,45.116300000000003,22.192499999999999
04/14/23 07:00,2.84843,19.583300000000001,15.2666,37.8964,22.520700000000001,5.7163500000000003,12.241,18.661100000000001,16.733699999999999,176.10400000000001,17.673300000000001,68.723399999999998,73.099999999999994,31.5,6.9,21.3,14.6,43.7,18.7,20.3,60.2,18.399999999999999,19.3,6.2,14.13707,32.6,29.2,12.4,21.8,27.4,44.7,115,37,16.2,30.8,21,16.600000000000001,37.921300000000002,11.454499999999999,6.7,23.157,35.185000000000002,9.3297299999999996,21.395199999999999,22.029599999999999,214.11699999999999,34.6312,38.301600000000001,82.086399999999998,34.718699999999998,28.3931,12.7,47.505000000000003,167.5,17.4499,44.1158,15.6,9.3699999999999992,5,9,16.2,45.52,27.7,27.08,41.08,26.39,18.7,19.649999999999999,,,21.780799999999999,12.878,7.1,76.7,4.4000000000000004,18,,12.8,15.4,41.093600000000002,6.9987500000000002,76.328599999999994,35.284399999999998,51.430599999999998,256.92899999999997,100.494,46.153300000000002,37.520699999999998,42.224600000000002,42.0914,14.9055,34.763599999999997,83.706000000000003,11.3,65.8,109.8,60.7,21.433800000000002,45.464100000000002,123.39100000000001,23.4648,36.3489,15.6111,61.058799999999998,46.730400000000003,156.77000000000001,35.7804,41.7121,40.763800000000003,32.879399999999997,37.073999999999998,36.4559,8.2744199999999992,82.574200000000005,10.3291,19.8949,20.096699999999998,,14.407500000000001,5.4998899999999997,18.001799999999999,34.685400000000001,14.2216,13.166700000000001,12.836399999999999,,27.872199999999999,40.848799999999997,23.3903,13.2,54.313499999999998,27.9482,55.308799999999998,24.669
04/14/23 08:00,3.9536699999999998,,18.452200000000001,31.958600000000001,22.106400000000001,6.3972300000000004,11.919700000000001,18.203299999999999,21.909400000000002,217.22200000000001,23.632300000000001,47.48,49.4,37.5,6.8,17,12.5,45.6,18.7,18.600000000000001,51.8,19.399999999999999,18.3,7.3,3.90252,24.1,16.8,11.9,23.3,24.2,44.3,112,32.6,11.7,28.9,15.4,17.100000000000001,35.832500000000003,12.482699999999999,5.9,24.0381,30.953199999999999,15.588900000000001,30.152799999999999,18.311199999999999,139.84,26.235399999999998,27.733599999999999,54.009799999999998,18.2182,20.3537,11.6,25.939299999999999,95.5,9.4462899999999994,28.6904,11.2,10.57,4.5,8.8000000000000007,13.1,43.32,28.4,22.58,39.68,27.39,15.8,22.45,19.569099999999999,,23.557099999999998,7.0878199999999998,7.4,67.2,4.5999999999999996,12.8,,7.7,13.4,26.786100000000001,6.8357000000000001,40.502499999999998,13.354799999999999,26.8886,188.29300000000001,44.565199999999997,30.3598,14.5327,16.957899999999999,51.930599999999998,13.889200000000001,24.131,43.023899999999998,10.5,41.8,39.5,22.7,23.4054,28.575299999999999,94.498699999999999,20.9406,19.913499999999999,15.1944,55.359000000000002,38.517099999999999,156.88800000000001,35.199300000000001,13.1553,26.845199999999998,26.881,31.574999999999999,31.6935,9.1389399999999998,10.286,,16.638100000000001,19.9682,32.332700000000003,12.3888,5.8739699999999999,17.726400000000002,37.345399999999998,16.7043,13.6366,12.991400000000001,,19.671800000000001,38.557600000000001,20.483699999999999,7.7919299999999998,34.858899999999998,34.197800000000001,49.527700000000003,22.2775
04/14/23 09:00,4.1533699999999998,10.122400000000001,23.773900000000001,44.725900000000003,21.1069,4.5356899999999998,12.808199999999999,12.1837,12.385,166.12799999999999,21.727799999999998,18.311299999999999,42.6,29.5,5.5,11.9,10.7,44.5,18.2,13.6,27.2,14.4,16.8,6.6,3.71122,19.3,18.100000000000001,13.2,17.2,17.899999999999999,30.1,82,25.8,10.3,19.3,11.5,11.3,32.085999999999999,12.139099999999999,5.9,25.3186,34.659199999999998,13.1843,21.549399999999999,20.2362,128.32900000000001,22.078900000000001,31.5459,46.707500000000003,17.5702,12.19,11.9,33.2059,78.5,8.5129199999999994,21.994299999999999,9.6,9.9700000000000006,4,6.8,9.5,33.22,21.3,18.68,45.78,20.79,12.7,16.75,17.9436,,26.834,11.361700000000001,7.8,55,3.1,10.1,,7.3,10.199999999999999,23.356100000000001,7.0099099999999996,10.333299999999999,9.6723400000000002,19.555499999999999,157.64500000000001,15.5166,15.574199999999999,19.324100000000001,19.6037,29.9879,,20.040900000000001,29.288599999999999,6.9,19,23.5,18.7,21.247599999999998,57.610999999999997,83.471500000000006,15.271000000000001,13.285500000000001,15.5419,50.480499999999999,33.217799999999997,122.264,30.1937,10.989800000000001,24.121500000000001,23.031099999999999,27.986499999999999,33.273600000000002,9.6423199999999998,12.237299999999999,,13.3813,13.6092,22.963100000000001,11.958,6.2441399999999998,21.862500000000001,29.777999999999999,17.728300000000001,12.2112,12.760899999999999,,26.167100000000001,58.570399999999999,22.957699999999999,7.7435999999999998,26.153500000000001,24.3095,34.491399999999999,24.653099999999998
04/14/23 10:00,4.5915299999999997,14.1418,29.646899999999999,30.672699999999999,27.490300000000001,4.4379600000000003,13.736599999999999,14.7197,15.7257,148.55699999999999,25.5199,18.847799999999999,33.799999999999997,20.5,4,9,8.5,41,13.3,10.9,23.8,10.7,14.2,4.8,4.1320800000000002,15.7,10.4,10.5,16.2,13.7,23.4,61.4,22.8,8.1,15,10.6,8.1999999999999993,31.152899999999999,9.8643300000000007,6.1,18.530999999999999,26.682500000000001,14.268800000000001,17.0334,17.067900000000002,139.94999999999999,19.356400000000001,35.811199999999999,46.692599999999999,14.390499999999999,8.0000199999999992,6.2,39.875100000000003,65.099999999999994,9.6942900000000005,20.758500000000002,6.7,8.27,4.9000000000000004,6.1,9,20.82,17.899999999999999,18.68,25.28,15.49,12,12.75,17.197700000000001,,38.7438,11.1816,7.3,66,2.8,13.2,,4.9000000000000004,27.9,12.24,5.3103499999999997,8.3219799999999999,11.4693,13.1226,96.822599999999994,9.0365400000000005,14.9102,17.9129,9.4287299999999998,23.218599999999999,9.3226899999999997,22.838100000000001,25.055,4.5999999999999996,10.7,17.2,,24.836300000000001,42.265999999999998,50.098100000000002,11.1151,10.226599999999999,18.183,65.665000000000006,30.261099999999999,120.361,36.302100000000003,9.88185,24.54,32.789200000000001,31.052600000000002,29.161999999999999,8.3171900000000001,11.229799999999999,,12.6973,12.5746,24.127800000000001,10.405099999999999,6.0283899999999999,19.489799999999999,25.0337,16.423500000000001,15.1174,10.4396,,26.373100000000001,43.974400000000003,13.257899999999999,6.8757599999999996,24.880400000000002,19.886700000000001,29.827200000000001,21.8797
